zipcode,population,area (sq mi),pop_density
20052,470,0.003,156666.6667
20390,584,0.004,146000
10028,45141,0.313,144220.4473
10075,26121,0.184,141961.9565
10162,1685,0.012,140416.6667
10128,60453,0.466,129727.4678
10025,94600,0.752,125797.8723
10023,60998,0.49,124485.7143
10021,43631,0.381,114517.0604
10040,41905,0.382,109698.9529
10026,34003,0.332,102418.6747
10016,54183,0.532,101847.7444
10009,61347,0.617,99427.87682
10005,7135,0.073,97739.72603
10003,56024,0.576,97263.88889
10030,26999,0.279,96770.60932
10029,76003,0.812,93599.75369
10002,81410,0.878,92722.09567
10033,53926,0.596,90479.86577
11372,66636,0.741,89927.12551
10032,57331,0.655,87528.24427
10031,56438,0.649,86961.4792
10453,78309,0.919,85211.09902
30609,1956,0.023,85043.47826
10456,86547,1.018,85016.69941
10065,32270,0.38,84921.05263
10010,31834,0.382,83335.07853
10458,79492,1.005,79096.51741
11226,101572,1.289,78799.06905
10011,50984,0.66,77248.48485
29225,1228,0.016,76750
10452,75371,0.988,76286.43725
10022,31924,0.427,74763.46604
10012,24090,0.323,74582.04334
39217,1103,0.015,73533.33333
10468,76103,1.071,71057.88982
11109,3523,0.05,70460
11104,27232,0.388,70185.56701
10282,4783,0.069,69318.84058
2113,6915,0.1,69150
10024,59283,0.858,69094.40559
10027,59707,0.869,68707.71001
10280,7853,0.115,68286.95652
10038,20300,0.299,67892.97659
10037,17416,0.257,67766.53696
10457,70496,1.059,66568.46081
11373,100820,1.522,66241.78712
11225,56829,0.884,64286.1991
10472,66358,1.054,62958.25427
11219,92221,1.482,62227.39541
10019,42870,0.697,61506.45624
10014,31959,0.545,58640.36697
11213,63767,1.09,58501.83486
11216,54316,0.935,58091.97861
10459,47308,0.82,57692.68293
11220,99598,1.745,57076.21777
11221,78895,1.383,57046.27621
11206,81677,1.434,56957.46165
10036,24711,0.439,56289.29385
10039,24527,0.437,56125.85812
10455,39665,0.713,55631.13604
11212,84500,1.539,54905.78298
11103,38780,0.711,54542.89733
10069,5199,0.096,54156.25
23909,2027,0.038,53342.10526
76798,1862,0.035,53200
19383,3169,0.06,52816.66667
11218,75220,1.428,52675.07003
10017,16575,0.317,52287.06625
10462,75784,1.474,51413.83989
7087,66515,1.294,51402.62751
7093,60884,1.187,51292.33361
94108,13768,0.27,50992.59259
90057,44998,0.886,50787.81038
11237,49896,0.984,50707.31707
10044,11661,0.23,50700
10013,27700,0.55,50363.63636
11233,67053,1.349,49705.70793
11355,85871,1.735,49493.37176
11204,78134,1.588,49202.77078
11217,35881,0.75,47841.33333
37240,754,0.016,47125
94109,55984,1.188,47124.57912
11230,86408,1.841,46935.36122
10463,67970,1.45,46875.86207
94102,31176,0.669,46600.89686
11374,43600,0.943,46235.41888
11106,38875,0.855,45467.83626
11238,49262,1.107,44500.45167
10451,45713,1.029,44424.68416
10007,6988,0.16,43675
10460,57311,1.318,43483.30804
11102,34133,0.789,43261.08999
