month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202201,94619,"oakland, ca",4588,4431,710,-2852,58.291311,75.07757951900699,41.505042668735456,44,-0.03296703296703296,-1.5,-0.06382978723404253,-3,-17,0.4646391406318695,-0.4639233972875806,0.8983,799900,0.008065532451165813,0.001126408010012625,2.1331,0,65,94619
202201,94611,"oakland, ca",894,1612,1312,-213,75.83204,85.48875096974399,66.17532971295577,35,-0.23076923076923073,-10.5,0,0,-26,0.5116582983699014,-0.045250560957367236,1.3833,1339000,-0.01544117647058818,0.2228310502283104,3.5707,0,61,94611
202201,94606,"oakland, ca",1717,4112,3960,781,60.056245,87.2187742435997,32.893716058960436,33,-0.4107142857142857,-23,-0.5,-33,-28,0.6741559387903813,-0.33017492711370267,0.7635,695000,0.019061583577712593,-0.005722460658083017,1.8533,0,57,94606
202201,94595,"walnut creek, ca",4345,1518,915,5394,76.431342,88.52211016291699,64.34057408844065,31,-0.16216216216216217,-6,-0.5303030303030303,-35,-30,0.6452312464204588,0.7251981827453529,1.3339,559000,0.03231763619575245,0.0647619047619048,1.4907,0,40,94595
202201,94610,"oakland, ca",1626,6695,159,-2455,46.55353,69.35608999224205,23.75096974398759,49,0.13953488372093026,6,-0.07547169811320753,-4,-12,0.5784209870388834,-0.38235735735735743,0.6295,630000,-0.023255813953488413,-0.13580246913580252,1.68,1,60,94610
202201,94801,"richmond, ca",4554,4924,1508,-3278,55.543057,69.35608999224205,41.73002327385571,49,-0.07547169811320753,-4,0.8148148148148149,22,-12,0.5161613327954755,-0.2865676461091379,0.9017,580000,0.09433962264150941,0.17886178861788626,1.5467,1,67,94801
202201,94804,"richmond, ca",1901,4621,1962,-1576,57.218774,90.72924747866563,23.70830100853375,28,-0.4042553191489362,-19,0,0,-33,0.2851258581235696,-0.3121019108280255,0.6281,589000,0.07198107198107206,0.03514938488576447,1.5707,0,68,94804
202201,94621,"oakland, ca",4713,4096,1739,931,60.141583,87.2187742435997,33.06439100077579,33,-0.2978723404255319,-14,-0.37735849056603776,-20,-28,0.3646863161785088,-0.1264040898617511,0.7669,499000,-0.07933579335793361,0.10888888888888881,1.3307,0,66,94621
202201,94603,"oakland, ca",4769,7341,592,-4323,43.091544,50.244375484871995,35.938712179984485,66,0.1785714285714286,10,0.6097560975609757,25,5,0.7147218274646034,-0.22791580400276046,0.8097,610888,0.029297388374052158,0.16361835463532648,1.629,1,55,94603
202201,94605,"oakland, ca",1418,4053,2114,-1883,60.409232,83.39410395655547,37.42435996896819,37,-0.1777777777777778,-8,-0.02631578947368418,-1,-24,0.6634478429142938,-0.3228298484183848,0.8319,689000,-0.014306151645207432,-0.014306151645207432,1.8373,0,56,94605
202201,94607,"oakland, ca",3432,7574,791,-588,41.8173,73.7199379363848,9.914662529092318,45,-0.032258064516129004,-1.5,0.022727272727272707,1,-16,0.6070334673825946,0.07645101344051164,0.4127,685000,0.05384615384615388,0.055469953775038494,1.8267,0,58,94607
202201,94601,"oakland, ca",1526,5379,1224,-445,53.178821,77.7734678044996,28.584173778122572,42,-0.1515151515151515,-7.5,-0.1063829787234043,-5,-19,0.32378573976861524,-0.11875416389073956,0.6993,698999,0.055889728096676805,0.16694323873121863,1.864,0,53,94601
202112,94603,"oakland, ca",4769,7933,744,-4229,39.89411,54.02303292626372,25.765187818828256,56,0.1200000000000001,6,0.5342465753424657,19.5,2.5,0.067334501664015,-0.19549623557110063,0.6881,593500,0.020636285468615734,0.10213556174558969,1.5827,1,55,94603
202112,94610,"oakland, ca",1626,6854,1446,-2204,45.891946,73.03679084866286,18.747101561292318,43,0.0117647058823529,0.5,-0.0444444444444444,-2,-10.5,0.11630495269894281,-0.3009344901374136,0.5812,645000,-0.0401785714285714,-0.0444444444444444,1.72,0,60,94610
202112,94601,"oakland, ca",1526,6603,2398,-2471,47.174988,63.004328335136805,31.34564847735353,49.5,0.03125,1.5,0.125,5.5,-4,0.4964175216589013,-0.14524600774180696,0.7699,662000,-0.010463378176382654,0.10517529215358934,1.7653,0,53,94601
202112,94801,"richmond, ca",4554,6432,427,-4492,48.052249,58.09630545679394,38.00819292008038,53,0.09278350515463907,4.5,0.308641975308642,12.5,-0.5,-0.07602541584336209,-0.3415608225174147,0.8667,530000,0.019230769230769162,0.0849539406345956,1.4133,1,67,94801
202112,94596,"walnut creek, ca",4700,2672,224,3336,67.956794,77.76704281960117,58.146545061060436,40,0.08108108108108114,3,-0.33884297520661155,-20.5,-13.5,-0.06849442379182147,0.3313815312372106,1.2135,638000,-0.006917334429148658,0.041632653061224545,1.7013,0,41,94596
